427.54%|29.20%|292MiB|1000MiB|project-sb-webflux-1
434.83%|29.21%|292.1MiB|1000MiB|project-sb-webflux-1
434.83%|29.21%|292.1MiB|1000MiB|project-sb-webflux-1
419.59%|29.20%|292MiB|1000MiB|project-sb-webflux-1
419.59%|29.20%|292MiB|1000MiB|project-sb-webflux-1
426.22%|29.20%|292MiB|1000MiB|project-sb-webflux-1
426.22%|29.20%|292MiB|1000MiB|project-sb-webflux-1
407.46%|29.20%|292MiB|1000MiB|project-sb-webflux-1
407.46%|29.20%|292MiB|1000MiB|project-sb-webflux-1
419.85%|29.20%|292MiB|1000MiB|project-sb-webflux-1
419.85%|29.20%|292MiB|1000MiB|project-sb-webflux-1
